n,cvar,qcvar,var,qvar,tvar,qtvar,expectation
4000,0.139016,0.07704799999999999,0.128667,0.054435,0.13541,0.059495,0.003286
4000,0.133897,0.027302,0.122274,0.014407999999999999,0.12867699999999999,0.073451,0.003316
4000,0.137274,0.047581,0.125631,0.019468,0.132495,0.066608,0.0033569999999999997
4000,0.134859,0.040257,0.12525999999999998,0.028926,0.13142299999999998,0.07582599999999999,0.0033859999999999997
5000,0.172731,0.095133,0.16591799999999998,0.08126599999999999,0.21403999999999998,0.083841,0.004058
5000,0.174375,0.06457399999999999,0.164596,0.048774,0.16179,0.058843,0.004248
5000,0.17124899999999998,0.048492999999999994,0.160989,0.034025,0.162152,0.082698,0.003898
5000,0.177691,0.084081,0.190075,0.07059499999999999,0.174956,0.065526,0.0043879999999999995
5000,0.17449499999999998,0.041229999999999996,0.164536,0.045056,0.167211,0.062039,0.003977
5000,0.173654,0.041991,0.163373,0.02601,0.17005599999999998,0.073111,0.0038669999999999998
5000,0.178924,0.058503,0.168684,0.043514,0.169566,0.086807,0.004248
5000,0.186919,0.044105,0.168313,0.027583,0.177922,0.079292,0.0044789999999999995
5000,0.173674,0.060566999999999996,0.162662,0.047911999999999996,0.16580799999999998,0.093058,0.004118
5000,0.178232,0.084502,0.16805299999999998,0.056277999999999995,0.16891399999999998,0.0781,0.003868
5000,0.191267,0.025439,0.17399399999999998,0.014086999999999999,0.18048599999999998,0.08789799999999999,0.003968
5000,0.167482,0.06752899999999999,0.15639,0.053432,0.158875,0.066107,0.003797
5000,0.17349299999999998,0.07292,0.162011,0.047771999999999995,0.16668,0.084191,0.004529
5000,0.17785099999999998,0.051599,0.18802,0.038904999999999995,0.16841299999999998,0.088059,0.003828
5000,0.194453,0.044756,0.163333,0.030567999999999998,0.166349,0.073572,0.003907
5000,0.178402,0.059815,0.171659,0.048964,0.16744199999999998,0.081176,0.004128
5000,0.16985599999999998,0.047841999999999996,0.159636,0.03118,0.16194999999999998,0.08764799999999999,0.003737
