n,diff
29200,9.949984146618739
29300,9.96809330535779
29400,9.92538497778284
29500,9.930408609794071
29600,9.939541219128742
29700,9.952008435690196
29800,9.947093207847075
29900,9.940433288915209
30000,9.91765480307508
30100,9.944261471153986
30200,9.941916161773648
30300,9.968053467194963
30400,9.976749945422966
30500,9.962480613258542
30600,9.932412145864163
30700,9.952311552399834
30800,9.9745394924172
30900,9.926259598251214
31000,9.926568844462771
31100,9.959098882609645
31200,9.92722230117591
31300,9.938412126859127
31400,9.983644949029483
31500,9.94292007902822
31600,9.950580603750645
31700,9.966358175936136
31800,9.927903927503273
31900,9.952489798491428
32000,9.979261432875084
32100,9.91430744710371
32200,9.933552842761962
32300,9.951302641580803
32400,9.954269741504547
32500,9.950142975995561
32600,9.916409141710936
32700,9.953018790590079
32800,9.970854959241116
32900,9.904040742158621
33000,9.921965205697823
33100,9.943496717243072
33200,9.94989617221858
33300,9.947148620430546
33400,9.908715435414472
33500,9.942372260460587
33600,9.952640032602972
33700,9.936986223289843
33800,9.952752581287157
33900,9.936807574533049
34000,9.938866974684473
34100,9.91563471724728
34200,9.92295977252202
34300,9.936282735191448
34400,9.919994468495005
34500,9.943494998021478
34600,9.938172333262322
34700,9.93595270952062
34800,9.937682753837663
34900,9.922252406342011
35000,9.932111885031972
35100,9.932751698500383
35200,9.94039913360271
35300,9.934368927598392
35400,9.94804836335311
35500,9.969999708952997
35600,9.945567888258537
35700,9.952753535253564
35800,9.931258190072455
35900,9.977689721943882
36000,9.961156614876103
36100,9.915990486909827
36200,9.950818262428776
36300,9.941429094101906
36400,9.944992462392122
36500,9.9369438489869
36600,9.920460759802005
36700,9.945835800220706
36800,9.959623540922074
36900,9.927802313181601
37000,9.930256161167321
37100,9.946602535073964
37200,9.9329596436137
37300,9.943846311686613
37400,9.951306582251263
37500,9.930251574970157
37600,9.93965274108485
37700,9.915934883138732
37800,9.932675973883072
37900,9.924325046303366
38000,9.953995392047794
38100,9.932432042313557
38200,9.967534108706673
38300,9.949422695690977
38400,9.937960704789248
38500,9.95045266377538
38600,9.93738913278662
38700,9.925752867234621
38800,9.957825071473437
38900,9.933973413866589
39000,9.946242237571063
39100,9.932110314566913
39200,9.963604591796056
39300,9.915180431321431
39400,9.919947699780337
39500,9.916291789100214
39600,9.940749330471277
39700,9.971937859975561
39800,9.965685606200196
39900,9.931785041108562
40000,9.937516394891531
40100,9.951249659043192
40200,9.917180966769067
40300,9.988702263631538
40400,9.957052190720148
40500,9.936072819073246
40600,9.952958625703161
40700,9.95304320548476
40800,9.963130382605286
40900,9.934524513755456
41000,9.9571404682738
41100,9.929595700176534
41200,9.944130120293877
41300,9.957257319268749
41400,9.928280328002145
41500,9.926661583292102
41600,9.959605517831399
41700,9.95606147440261
41800,9.952615531890501
41900,9.944829661600082
42000,9.947607479715366
42100,9.940502342733431
42200,9.953504567928356
42300,9.952004639863851
42400,9.916702659834336
42500,9.949252654509124
42600,9.945738467740561
42700,9.959810359127964
42800,9.932940445176882
42900,9.975286421427747
43000,9.946982215400347
43100,9.94676893509454
43200,9.94046143045955
43300,9.926168832689513
43400,9.9535925579898
43500,9.95287567375943
43600,9.9485757631169
43700,9.954381505198931
43800,9.934510885275841
43900,9.956056160880365
44000,9.952396556467377
44100,9.960814055521872
44200,9.950294710663144
44300,9.926194264802625
44400,9.936341688527676
44500,9.938980076399844
44600,9.922113025518804
44700,9.942661920517907
44800,9.94242761677689
44900,9.962406087279938
45000,9.959642555146104
45100,9.925833006381225
45200,9.93924030277715
45300,9.943656735023382
45400,9.959101206455344
45500,9.941835629636998
45600,9.910164838172811
45700,9.979756864354457
45800,9.929132158772774
45900,9.949623844456326
46000,9.954697454668334
46100,9.940279247892214
46200,9.944494706407745
46300,9.940080774327974
46400,9.937181141898698
46500,9.93324695868008
46600,9.95532273365719
46700,9.95396078864885
46800,9.93195590152881
46900,9.971542341744119
47000,9.914430134333415
47100,9.936776504154523
47200,9.95308912180451
47300,9.958656458008754
47400,9.953970464181829
47500,9.959684617058578
47600,9.916640312332866
47700,9.950068123900373
47800,9.923903499869553
47900,9.933964468810352
48000,9.942336830158254
48100,9.93140296026413
48200,9.915345920995208
48300,9.968554636316085
48400,9.933657943697462
