n,cvar,qcvar,var,qvar,tvar,qtvar
31,74353.0,2826.0,72840.0,1493.0,2555.0,3477.0
31,74814.0,2585.0,90484.0,1433.0,2555.0,3908.0
31,74514.0,2585.0,73101.0,1413.0,2475.0,3727.0
31,74934.0,2595.0,73040.0,1413.0,2806.0,3818.0
31,74854.0,2655.0,73131.0,1403.0,2564.0,3617.0
31,74504.0,2565.0,73241.0,1423.0,2484.0,3677.0
31,74483.0,2575.0,73481.0,1403.0,2755.0,3707.0
31,90624.0,2645.0,73431.0,1403.0,3196.0,3617.0
32,73792.0,3006.0,73170.0,1673.0,2695.0,4108.0
32,73591.0,2755.0,72840.0,1583.0,2575.0,3718.0
32,76156.0,2695.0,72690.0,1493.0,2455.0,3527.0
32,73170.0,2665.0,72930.0,1403.0,2525.0,4078.0
32,90825.0,2525.0,72650.0,1403.0,3216.0,3577.0
32,73321.0,2605.0,72760.0,1403.0,2475.0,3988.0
32,74654.0,2625.0,77419.0,1624.0,2455.0,4268.0
32,74694.0,2595.0,73782.0,1393.0,2505.0,3527.0
32,73692.0,2615.0,72669.0,1403.0,2465.0,3697.0
32,73912.0,2595.0,72529.0,1413.0,2505.0,3437.0
33,72991.0,2875.0,72168.0,1573.0,2855.0,3697.0
33,73281.0,2765.0,72109.0,1493.0,3567.0,3918.0
33,73441.0,2875.0,72159.0,1463.0,2655.0,3977.0
33,73462.0,2605.0,72199.0,1412.0,2325.0,3527.0
33,73251.0,2574.0,88721.0,1403.0,2284.0,8.394306e6
33,81317.0,3407.0,72970.0,1513.0,3327.0,4048.0
33,73281.0,2705.0,72630.0,1422.0,2966.0,4148.0
33,72930.0,2685.0,71848.0,1403.0,2805.0,4288.0
33,89913.0,2655.0,72199.0,1413.0,2745.0,3627.0
33,71027.0,4238.0,70275.0,1413.0,2655.0,4067.0
34,73251.0,2915.0,70325.0,1432.0,2946.0,4148.0
34,71478.0,2845.0,70275.0,1432.0,2786.0,4228.0
34,70936.0,2555.0,88010.0,1433.0,2645.0,3657.0
34,71107.0,2595.0,70275.0,1453.0,2635.0,3938.0
34,70957.0,2676.0,69975.0,1413.0,2485.0,3687.0
34,71037.0,2595.0,70275.0,1413.0,3046.0,4008.0
34,71928.0,2615.0,70044.0,1402.0,2665.0,3827.0
34,71207.0,2615.0,69985.0,1413.0,2465.0,3758.0
34,71688.0,2585.0,87929.0,1413.0,3436.0,3637.0
34,70896.0,2726.0,70776.0,1393.0,2575.0,3988.0
35,68813.0,2585.0,67540.0,1392.0,3045.0,3757.0
35,68391.0,2615.0,67680.0,1383.0,2675.0,3486.0
35,68892.0,2846.0,67620.0,1383.0,3196.0,3697.0
35,69183.0,2605.0,85054.0,1383.0,3297.0,3697.0
35,69123.0,2735.0,67440.0,1382.0,3126.0,3547.0
35,69273.0,2525.0,68101.0,1372.0,2866.0,3607.0
35,68541.0,2645.0,67399.0,1373.0,2795.0,3537.0
35,74142.0,2625.0,70746.0,1372.0,2745.0,3537.0
35,68712.0,2525.0,67720.0,1403.0,2815.0,3607.0
35,68942.0,2705.0,67730.0,1382.0,2986.0,3737.0
36,41891.0,1754.0,41280.0,901.0,1814.0,2264.0
36,42222.0,1613.0,41269.0,891.0,1653.0,2334.0
36,41940.0,1673.0,41210.0,882.0,1753.0,2284.0
36,41900.0,1644.0,41380.0,892.0,1703.0,2294.0
36,41780.0,2464.0,41410.0,912.0,1713.0,2234.0
36,41850.0,1673.0,41460.0,912.0,1583.0,2495.0
36,42141.0,1713.0,41430.0,882.0,1883.0,2385.0
36,41900.0,1743.0,41701.0,892.0,1813.0,2535.0
36,42001.0,1633.0,41670.0,19066.0,2165.0,2554.0
36,42432.0,2194.0,41440.0,902.0,1773.0,2525.0
37,42020.0,1703.0,41500.0,882.0,1793.0,2505.0
37,41851.0,1643.0,41771.0,922.0,1943.0,2314.0
37,42041.0,1993.0,41480.0,881.0,1794.0,2384.0
37,42371.0,1713.0,41179.0,902.0,1763.0,2314.0
37,42041.0,1774.0,41560.0,881.0,1924.0,2495.0
37,41881.0,1854.0,41299.0,891.0,1934.0,2535.0
37,41810.0,1764.0,41741.0,891.0,2244.0,2344.0
37,42251.0,1974.0,59093.0,882.0,2074.0,2484.0
37,42682.0,1803.0,41219.0,912.0,1844.0,2605.0
37,42361.0,1753.0,41339.0,891.0,1833.0,2434.0
38,36600.0,1583.0,36290.0,832.0,1623.0,2104.0
38,37121.0,1543.0,36130.0,781.0,1503.0,2515.0
38,36631.0,1453.0,36440.0,771.0,1583.0,2214.0
38,36600.0,1463.0,36089.0,772.0,1563.0,2194.0
38,37031.0,1723.0,36390.0,782.0,1744.0,2575.0
38,36620.0,1503.0,36190.0,821.0,1623.0,2204.0
38,36881.0,1513.0,36009.0,782.0,1513.0,2094.0
38,53923.0,1613.0,36410.0,771.0,1643.0,2094.0
38,36710.0,1443.0,36530.0,802.0,1824.0,2655.0
